name,formula_pos,formula_neg
1C,"H(2) C(1)",""
2C,"H(4) C(2)",""
3C,"H(6) C(3)",""
4C,"H(8) C(4)",""
5C,"H(10) C(5)",""
6C,"H(12) C(6)",""
7C,"H(14) C(7)",""
8C,"H(16) C(8)",""
9C,"H(18) C(9)",""
10C,"H(20) C(10)",""
15C,"H(30) C(15)",""
20C,"H(30) C(20)",""
1-C,,"H(-2) C(-1)"
2-C,,"H(-4) C(-2)"
3-C,,"H(-6) C(-3)"
4-C,,"H(-8) C(-4)"
5-C,,"H(-10) C(-5)"
6-C,,"H(-12) C(-6)"
7-C,,"H(-14) C(-7)"
8-C,,"H(-16) C(-8)"
9-C,,"H(-18) C(-9)"
10-C,,"H(-20) C(-10)"
15-C,,"H(-30) C(-15)"
20-C,,"H(-30) C(-20)"
Acetyl,"H(2) C(2) O",""
Amidated,"H N","O(-1)"
Biotin,"H(14) C(10) N(2) O(2) S",""
Carbamidomethyl,"H(3) C(2) N O",""
Carbamyl,"H C N O",""
Carboxymethyl,"H(2) C(2) O(2)",""
Deamidated,"O","H(-1) N(-1)"
ICAT-G,"H(38) C(22) N(4) O(6) S",""
ICAT-G:2H(8),"H(30) 2H(8) C(22) N(4) O(6) S",""
Met->Hse,"O","H(-2) C(-1) S(-1)"
Met->Hsl,"","H(-4) C(-1) S(-1)"
ICAT-D:2H(8),"H(26) 2H(8) C(20) N(4) O(5) S",""
ICAT-D,"H(34) C(20) N(4) O(5) S",""
NIPCAM,"H(9) C(5) N O",""
PEO-Iodoacetyl-LC-Biotin,"H(30) C(18) N(4) O(5) S",""
Phospho,"H O(3) P",""
Dehydrated,"","H(-2) O(-1)"
Propionamide,"H(5) C(3) N O",""
Pyridylacetyl,"H(5) C(7) N O",""
Pyro-carbamidomethyl,"C(2) O",""
Glu->pyro-Glu,"","H(-2) O(-1)"
Gln->pyro-Glu,"","H(-3) N(-1)"
SMA,"H(9) C(6) N O(2)",""
Cation:Na,"Na","H(-1)"
Pyridylethyl,"H(7) C(7) N",""
Methyl,"H(2) C",""
Oxidation,"O",""
Dimethyl,"H(4) C(2)",""
Trimethyl,"H(6) C(3)",""
Methylthio,"H(2) C S",""
Sulfo,"O(3) S",""
Hex,"Hex",""
Lipoyl,"H(12) C(8) O S(2)",""
HexNAc,"HexNAc",""
